,id,playlist,artist,explicit,name,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,time_signature
2PpruBYCo4H7WOBJ7Q2EwM,2PpruBYCo4H7WOBJ7Q2EwM,ctrl alt repeat 🌱,OutKast,False,Hey Ya! - Radio Mix / Club Mix,2003-01-01,75,0.728,0.974,4,-2.261,0,0.0665,0.103,0.000532,0.175,0.965,79.526,audio_features,spotify:track:2PpruBYCo4H7WOBJ7Q2EwM,4
31PrpdoIJt82Oi4hEycYeA,31PrpdoIJt82Oi4hEycYeA,ctrl alt repeat 🌱,Will Joseph Cook,False,Girls Like Me,2016-02-12,36,0.757,0.72,11,-5.644,1,0.0425,0.0698,1.45e-05,0.112,0.96,121.968,audio_features,spotify:track:31PrpdoIJt82Oi4hEycYeA,4
4IHY8b4jvoZjA2hmImI1XM,4IHY8b4jvoZjA2hmImI1XM,ctrl alt repeat 🌱,Colony House,False,Silhouettes (Casio Version),2016-02-12,31,0.444,0.907,8,-4.352,1,0.0501,0.00162,0.000318,0.0636,0.964,80.01,audio_features,spotify:track:4IHY8b4jvoZjA2hmImI1XM,4
3Vo4wInECJQuz9BIBMOu8i,3Vo4wInECJQuz9BIBMOu8i,ctrl alt repeat 🌱,Bruno Mars,False,Finesse (Remix) [feat. Cardi B],2017-12-20,85,0.704,0.859,5,-4.877,0,0.0996,0.0185,0.0,0.0215,0.926,105.115,audio_features,spotify:track:3Vo4wInECJQuz9BIBMOu8i,4
0SGojwNP2zUrgDyeoBQxYO,0SGojwNP2zUrgDyeoBQxYO,ctrl alt repeat 🌱,Rock Mafia,False,The Big Bang,2010-10-29,59,0.902,0.816,0,-3.077,0,0.0312,0.124,8.94e-06,0.18,0.894,96.01,audio_features,spotify:track:0SGojwNP2zUrgDyeoBQxYO,4
13u8q0ouNMBs11CFdrbfAU,13u8q0ouNMBs11CFdrbfAU,ctrl alt repeat 🌱,Joy Crookes,False,Bad Feeling,2017-05-12,39,0.795,0.651,4,-5.727,0,0.0746,0.117,0.00129,0.384,0.864,98.001,audio_features,spotify:track:13u8q0ouNMBs11CFdrbfAU,4
7uKcScNXuO3MWw6LowBjW1,7uKcScNXuO3MWw6LowBjW1,ctrl alt repeat 🌱,Ciara,False,"One, Two Step",2004-09-24,76,0.944,0.511,5,-10.96,0,0.161,0.042,0.00107,0.0379,0.842,113.046,audio_features,spotify:track:7uKcScNXuO3MWw6LowBjW1,4
0yTJtxZJ5VLfBEHhiNUNeY,0yTJtxZJ5VLfBEHhiNUNeY,ctrl alt repeat 🌱,Young the Giant,False,Silvertongue,2016-08-12,65,0.673,0.789,0,-4.288,1,0.0408,0.00975,0.0,0.752,0.841,100.043,audio_features,spotify:track:0yTJtxZJ5VLfBEHhiNUNeY,4
5kXCVnfbxfq5nKjAVvj3no,5kXCVnfbxfq5nKjAVvj3no,ctrl alt repeat 🌱,Demi Lovato,False,Sexy Dirty Love,2017-09-22,2,0.387,0.75,4,-4.431,0,0.303,0.000963,2.73e-05,0.0579,0.834,93.114,audio_features,spotify:track:5kXCVnfbxfq5nKjAVvj3no,1
5y6pj7OeBFF0CVgZKhRbOG,5y6pj7OeBFF0CVgZKhRbOG,ctrl alt repeat 🌱,Little Mix,False,Black Magic,2015-11-06,72,0.777,0.895,4,-4.464,1,0.0618,0.0348,0.0,0.317,0.826,111.987,audio_features,spotify:track:5y6pj7OeBFF0CVgZKhRbOG,4
4V6MRo0CEAC9MwAm7dkPuL,4V6MRo0CEAC9MwAm7dkPuL,ctrl alt repeat 🌱,Camila Cabello,False,Real Friends,2017-12-06,74,0.74,0.303,3,-8.612,1,0.117,0.835,0.0,0.0782,0.819,91.958,audio_features,spotify:track:4V6MRo0CEAC9MwAm7dkPuL,4
5R0N0a3BB3hzK1OTNrWbs1,5R0N0a3BB3hzK1OTNrWbs1,ctrl alt repeat 🌱,Bridgit Mendler,False,Rocks at My Window,2012-01-01,38,0.639,0.935,8,-3.002,1,0.103,0.0193,0.000205,0.386,0.812,184.96,audio_features,spotify:track:5R0N0a3BB3hzK1OTNrWbs1,4
1rIKgCH4H52lrvDcz50hS8,1rIKgCH4H52lrvDcz50hS8,ctrl alt repeat 🌱,Zara Larsson,False,Lush Life,2017-03-17,78,0.694,0.712,7,-3.923,0,0.046,0.133,0.0,0.211,0.799,98.022,audio_features,spotify:track:1rIKgCH4H52lrvDcz50hS8,4
6ptJ3y9QvcFgoH7eJIQDf3,6ptJ3y9QvcFgoH7eJIQDf3,ctrl alt repeat 🌱,Topaz Jones,True,Tropicana (Bonus),2016-10-28,52,0.834,0.464,11,-8.08,0,0.338,0.0417,0.0,0.0971,0.786,136.953,audio_features,spotify:track:6ptJ3y9QvcFgoH7eJIQDf3,4
4WH2PelEpTVSuglBbz65gN,4WH2PelEpTVSuglBbz65gN,ctrl alt repeat 🌱,Nina Nesbitt,False,Somebody Special,2018-01-11,70,0.559,0.379,5,-7.217,0,0.0955,0.43,0.0,0.0649,0.791,172.095,audio_features,spotify:track:4WH2PelEpTVSuglBbz65gN,4
5yy1unn3mSHSlndXyjUt3H,5yy1unn3mSHSlndXyjUt3H,ctrl alt repeat 🌱,AudioDamn!,False,Radar,2016-01-08,48,0.654,0.844,5,-4.709,0,0.0433,0.257,0.0,0.378,0.794,120.031,audio_features,spotify:track:5yy1unn3mSHSlndXyjUt3H,4
0d28khcov6AiegSCpG5TuT,0d28khcov6AiegSCpG5TuT,ctrl alt repeat 🌱,Gorillaz,False,Feel Good Inc,2005-05-23,81,0.818,0.705,6,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559,audio_features,spotify:track:0d28khcov6AiegSCpG5TuT,4
5Gu0PDLN4YJeW75PpBSg9p,5Gu0PDLN4YJeW75PpBSg9p,ctrl alt repeat 🌱,Hailee Steinfeld,False,"Let Me Go (with Alesso, Florida Georgia Line & watt)",2017-09-08,81,0.663,0.708,8,-4.154,1,0.0473,0.0337,0.0,0.0841,0.742,103.073,audio_features,spotify:track:5Gu0PDLN4YJeW75PpBSg9p,4
1LPGwuFgIzbJoShfDdw7MY,1LPGwuFgIzbJoShfDdw7MY,ctrl alt repeat 🌱,Glass Animals,False,Youth,2016-08-26,67,0.647,0.729,9,-7.789,0,0.0304,0.112,0.0036,0.109,0.762,96.015,audio_features,spotify:track:1LPGwuFgIzbJoShfDdw7MY,4
5jlsg7onynIipVy5krMaRZ,5jlsg7onynIipVy5krMaRZ,ctrl alt repeat 🌱,Little Mix,False,Hair,2016-04-15,63,0.712,0.835,7,-4.676,1,0.0487,0.00623,1.68e-06,0.843,0.741,153.956,audio_features,spotify:track:5jlsg7onynIipVy5krMaRZ,4
1ePHXN5AOyHTclX0xO7qVL,1ePHXN5AOyHTclX0xO7qVL,ctrl alt repeat 🌱,Jayme Dee,False,Love Whiplash,2013-07-30,21,0.7,0.788,6,-5.586,0,0.0275,0.0279,5.05e-06,0.545,0.728,116.957,audio_features,spotify:track:1ePHXN5AOyHTclX0xO7qVL,4
3B54sVLJ402zGa6Xm4YGNe,3B54sVLJ402zGa6Xm4YGNe,ctrl alt repeat 🌱,French Montana,True,Unforgettable,2017-07-14,86,0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,audio_features,spotify:track:3B54sVLJ402zGa6Xm4YGNe,4
4vuJuTLFomqItDrn482nzV,4vuJuTLFomqItDrn482nzV,ctrl alt repeat 🌱,Saint Motel,False,Move,2016-10-21,61,0.638,0.819,10,-4.991,0,0.0643,0.0177,0.0,0.312,0.721,101.031,audio_features,spotify:track:4vuJuTLFomqItDrn482nzV,4
6kcHg7XL6SKyPNd78daRBL,6kcHg7XL6SKyPNd78daRBL,ctrl alt repeat 🌱,Saint Motel,False,Sweet Talk,2016-10-21,61,0.67,0.843,1,-4.311,1,0.0454,0.0392,0.0,0.225,0.713,117.01,audio_features,spotify:track:6kcHg7XL6SKyPNd78daRBL,4
6L3VWDPDTQkQFkqvmpAUMU,6L3VWDPDTQkQFkqvmpAUMU,ctrl alt repeat 🌱,Young the Giant,False,Something To Believe In,2016-08-12,63,0.623,0.886,1,-3.044,1,0.0404,0.0245,0.0,0.247,0.709,92.021,audio_features,spotify:track:6L3VWDPDTQkQFkqvmpAUMU,4
0sKAZF2T0hD3SfEr0U0rqX,0sKAZF2T0hD3SfEr0U0rqX,ctrl alt repeat 🌱,Eric Hutchinson,False,"OK, It's Alright With Me",2008-01-01,48,0.532,0.597,0,-4.788,1,0.0692,0.335,0.0,0.0699,0.666,74.388,audio_features,spotify:track:0sKAZF2T0hD3SfEr0U0rqX,4
5imShWWzwqfAJ9gXFpGAQh,5imShWWzwqfAJ9gXFpGAQh,ctrl alt repeat 🌱,John Mayer,False,Waiting On the World to Change,2006-09-11,73,0.577,0.756,2,-5.82,1,0.115,0.159,0.000232,0.249,0.663,176.75,audio_features,spotify:track:5imShWWzwqfAJ9gXFpGAQh,4
7yCqehT9dKACTFy7YugP0J,7yCqehT9dKACTFy7YugP0J,ctrl alt repeat 🌱,Marc E. Bassy,True,You & Me,2017-10-13,63,0.696,0.632,1,-8.307,1,0.154,0.0459,0.0,0.193,0.634,85.091,audio_features,spotify:track:7yCqehT9dKACTFy7YugP0J,4
3L8sb4DqxJzj3aafSKbveC,3L8sb4DqxJzj3aafSKbveC,ctrl alt repeat 🌱,Stromae,False,moules frites,2013-01-01,40,0.531,0.489,10,-9.878,1,0.0954,0.2,4.11e-06,0.326,0.616,136.968,audio_features,spotify:track:3L8sb4DqxJzj3aafSKbveC,4
4EWCNWgDS8707fNSZ1oaA5,4EWCNWgDS8707fNSZ1oaA5,ctrl alt repeat 🌱,Kanye West,False,Heartless,2008-01-01,72,0.789,0.65,10,-6.16,0,0.121,0.0401,0.0,0.249,0.617,87.983,audio_features,spotify:track:4EWCNWgDS8707fNSZ1oaA5,4
0ip0d4KKprjPX7SOJAMM7a,0ip0d4KKprjPX7SOJAMM7a,ctrl alt repeat 🌱,Young Rising Sons,False,Habits (Stay High),2014-10-21,45,0.683,0.634,0,-9.322,1,0.0358,0.0537,0.000408,0.113,0.605,109.956,audio_features,spotify:track:0ip0d4KKprjPX7SOJAMM7a,4
4c1gGIl0A4G42Du07h9hQo,4c1gGIl0A4G42Du07h9hQo,ctrl alt repeat 🌱,Elijah Blake,True,Towers of Tokyo,2013-12-12,40,0.584,0.603,5,-5.831,1,0.0854,0.244,0.0,0.113,0.605,85.166,audio_features,spotify:track:4c1gGIl0A4G42Du07h9hQo,3
2yrJ1jWo3HLksJFUqUsZE4,2yrJ1jWo3HLksJFUqUsZE4,ctrl alt repeat 🌱,Lorde,False,The Love Club,2013-01-01,61,0.792,0.492,5,-7.295,1,0.0572,0.229,0.0112,0.134,0.603,92.027,audio_features,spotify:track:2yrJ1jWo3HLksJFUqUsZE4,4
06nw88aK8vHYRnT4JPrE7I,06nw88aK8vHYRnT4JPrE7I,ctrl alt repeat 🌱,Sody,False,Wasted Youth,2016-05-13,13,0.696,0.496,0,-8.49,1,0.0756,0.157,0.0,0.137,0.587,119.994,audio_features,spotify:track:06nw88aK8vHYRnT4JPrE7I,4
